name,birth_country
Mike Ryan,
Alan Jackson,US
Adam Craig,
The Oak Ridge Boys,US
Jon Langston,US
Gary Stewart,US
Wynonna Judd,US
Granger Smith,
Guy Clark,US
Clay Walker,US
Adam Calhoun,
Restless Heart,US
Dirt,
Waylon Jennings,US
JB and The Moonshine Band,US
Robert Earl Keen,US
Matt Mason,US
Kellie Pickler,US
Reba McEntire,US
Josh Turner,US
Mickey Guyton,
Jameson Rodgers,
Brett Eldredge,US
Lady A,US
Rittz,US
Kacey Musgraves,US
High Valley,CA
Brothers Osborne,US
Bottleneck,
American Aquarium,US
Riley Green,US
Loretta Lynn,US
Randy Rogers Band,US
Canaan Smith,US
Smithfield,US
Billy Currington,US
Dustin Lynch,US
Danielle Bradbery,US
Daryle Singletary,US
Jefferson Starship,US
Chuck Wicks,US
Jon Wolfe,
Buddy Jewell,US
JT Hodges,US
Johnny Winter,US
Marty Robbins,US
Seth Ennis,
Julianne Hough,US
Matthew Sweet,US
Freddy Fender,US
Steve Earle,US
Trisha Yearwood,US
Corey Smith,
Mel McDaniel,US
Josh Dorr,
The Guess Who,CA
Jason Isbell and the 400 Unit,US
Aaron Watson,US
Lefty Frizzell,US
Dallas Smith,
Blackberry Smoke,US
Tyler Reeve,US
Walker Hayes,US
Eddie Money,US
Kenny Rogers,US
Taj Mahal,US
The Highwaymen,US
William Clark Green,
Shenandoah,US
Russell Dickerson,
Buddy Brown,
Jojo Mason,
Brent Corley,
Linkin Park,US
Kid Rock,US
Still Woozy,
Third Eye Blind,US
Evanescence,US
Foo Fighters,US
Blind Melon,US
Soundgarden,US
3 Doors Down,US
The White Stripes,US
MGMT,US
The 1975,GB
System of a Down,US
Skillet,US
Fountains of Wayne,US
X Ambassadors,US
grandson,CA
Masego,
Weezer,US
Slipknot,US
Semisonic,US
Papa Roach,US
Avenged Sevenfold,US
Counting Crows,US
Rage Against the Machine,US
Trapt,
Toploader,GB
Disturbed,US
Bad Wolves,US
Nickelback,CA
The Revivalists,US
Radiohead,GB
Five Finger Death Punch,US
Alice in Chains,US
The Offspring,US
Duckwrth,
Kaleo,IS
Incubus,US
Marcy Playground,US
Seether,ZA
R.E.M.,US
Chevelle,US
Goo Goo Dolls,US
Lit,US
Theory of a Deadman,CA
Rise Against,US
Puddle of Mudd,US
Breakbot,FR
Pearl Jam,US
Everclear,US
Good Charlotte,US
Breaking Benjamin,US
Stone Temple Pilots,US
Lifehouse,US
The Smashing Pumpkins,US
Capital Cities,US
Three Days Grace,CA
Eve 6,US
Mac Ayres,
Dominic Fike,
Florence + the Machine,GB
Audioslave,US
Two Door Cinema Club,
Mazzy Star,US
The Score,US
Collective Soul,US
Empire of the Sun,AU
Hinder,US
Alien Ant Farm,US
The Temper Trap,AU
Young the Giant,US
Bush,GB
311,US
Kali Uchis,US
The Wallflowers,US
Harvey Danger,US
Saving Abel,US
Freddie Gibbs,US
The Verve,GB
Cautious Clay,
Shoffy,US
Sum 41,CA
AFI,US
Shinedown,US
Crossfade,US
Modest Mouse,
Franz Ferdinand,GB
My Darkest Days,
Staind,US
The Strokes,US
Godsmack,
Saliva,US
Beck,US
Drowning Pool,US
Līve,US
Spin Doctors,US
The Presidents of the United States of America,
The Black Keys,US
Creed,US
UMI,
Queens of the Stone Age,US
Korn,US
Candlebox,US
Finger Eleven,CA
Phoenix,FR
MercyMe,US
Yeek,
Toadies,US
for KING & COUNTRY,US
dvsn,CA
Starset,US
Saba Saba,
Berhana,
Teyana Taylor,US
Peter Bjorn and John,SE
Francis and the Lights,US
Janelle Monáe,US
Violent Femmes,US
Bag Raiders,AU
Pantera,US
The Raconteurs,US
STRFKR,US
Souls of Mischief,US
10 Years,US
Omar Apollo,
Thousand Foot Krutch,CA
P.O.D.,US
Sick Puppies,AU
Kongos,
MARINA,GB
La Roux,GB
Halestorm,US
Stone Sour,US
Barns Courtney,GB
A Perfect Circle,US
Xavier Omär,US
Deftones,US
Volbeat,DK
Motörhead,GB
Ween,US
Tonic,US
Beastie Boys,US
Tayla Parx,US
Seven Mary Three,US
Bryce Fox,
Crazy Town,
Chris Tomlin,US
Daveed Diggs,
Blood Orange,GB
Leven Kali,US
We Are Messengers,
Flyleaf,US
Passion Pit,US
Jakob Ogawa,NO
Lucky Daye,US
Buckcherry,US
Limp Bizkit,US
Faith No More,US
Old Crow Medicine Show,US
ChocQuibTown,CO
Weathers,
Hollywood Undead,US
Rob Zombie,US
Nine Inch Nails,US
Electric Guest,US
Poolside,US
Alex Clare,GB
Hoobastank,US
DREAMERS,US
Soul Asylum,US
Des Rocs,US
Coheed and Cambria,US
Phil Wickham,US
Sonder,
Watch The Duck,
Badflower,
Broken Bells,US
The Shins,US
Ryan Trey,
Pixies,US
Smino,
Mudvayne,US
CAKE,US
Yeah Yeah Yeahs,US
Black Veil Brides,US
McCafferty,
Temple of the Dog,US
Better Than Ezra,US
Killswitch Engage,US
A Tribe Called Quest,US
Silverchair,AU
In This Moment,US
The Fratellis,GB
Passion,
Days of the New,US
Solange,US
Tobi Lou,
Run the Jewels,US
KAYTRANADA,CA
Smile Empty Soul,US
Matt Maher,US
Tom Morello,US
Jane’s Addiction,US
One Sonic Society,
Fuel,US
Mahalia,
Banks,US
Newsboys,AU
Earl Sweatshirt,
The Internet,US
Egypt Central,US
Missio,US
Casting Crowns,US
Never Shout Never,US
I AM THEY,
Rammstein,DE
Marilyn Manson,US
Majid Jordan,CA
Blur,GB
Wolfmother,AU
Pop Evil,US
Choker,
Framing Hanley,
Otherwise,US
Phony Ppl,
Sugar Ray Norcia,US
The Black Crowes,US
Grizfolk,US
Blues Traveler,US
Francesca Battistelli,US
Big K.R.I.T.,US
NEEDTOBREATHE,US
Story of the Year,US
SG Lewis,
Velvet Revolver,US
Souly Had,
The Naked and Famous,NZ
Welshly Arms,US
The Pharcyde,US
ODIE,
Justine Skye,
Monte Booker,
The Drums,US
From Ashes to New,
Justice,FR
SiR,US
Big Daddy Weave,US
Default,
Sir Sly,US
Alanis Morissette,CA
Hole,US
Asiahn,US
New Medicine,
Zack Villere,
Escape the Fate,US
The Band of Heathens,US
Quin²,
Mereba,US
All That Remains,US
Catfish and the Bottlemen,GB
LCD Soundsystem,US
KOTA the Friend,
Lecrae,US
Ab-Soul,US
Atreyu,US
Nothing More,US
Death From Above,CA
Spacehog,GB
The Driver Era,
Caesars,SE
Action Bronson,
Danzig,US
Arcade Fire,CA
Matt Redman,GB
The Unlikely Candidates,US
Filter,
Crowder,US
NICOTINE,JP
Mila J,US
Washed Out,US
THEY.,
Amy Grant,US
Manu Chao,FR
The Knocks,US
The Breeders,US
Bomba Estéreo,CO
The Jokerr,
Confederate Railroad,US
Strand of Oaks,US
Luke Pell,
Steve Wariner,US
Big Star,US
Randy Travis,US
Jessie James Decker,US
Eddie Rabbitt,US
Mason Ramsey,
Colt Ford,US
Johnny Paycheck,US
Old & In the Way,US
Josh Gracin,US
OUTLAW,JP
Ronnie Milsap,US
Neal McCoy,US
Michael Ray,US
Ashley Monroe,US
Traffic,GB
Maren Morris,US
Hayes Carll,US
Maggie Rose,US
Rosanne Cash,US
Lindsay Ell,CA
Chase Bryant,US
Sawyer Brown,US
Joe Nichols,US
Pat Green,US
RaeLynn,US
Digger,US
Jayne Denham,
Thompson Square,US
Chord Overstreet,US
Merle Haggard and The Strangers,US
Bread,US
Charlie Daniels,US
Austin Burke,
Andrew Jacobs,
Rodney Atkins,US
Drive-By Truckers,US
Shooter Jennings,US
Texas Tornados,US
Reckless Kelly,US
Taylor Ray Holbrook,
T.G. Sheppard,US
Doug Stone,US
Johnny Horton,US
Wet Willie,US
Jacob Bryant,
Lauren Alaina,US
the JaneDear girls,US
The Wandering Hearts,
The Outlaws,GB
Uncle Kracker,US
The Lost Trailers,US
Jonathan Edwards,US
Hank Locklin,US
Jason Isbell,US
Old Dominion,US
Wilco,US
Walker McGuire,
Haley Georgia,
Big Scoob,US
Ray Wylie Hubbard,US
Tim Crandall,
Easton Corbin,US
Sugarland,US
Lee Ann Womack,US
Brantley Gilbert,US
,
Ronnie Dunn,US
Drake White,US
Three Dog Night,US
Shania Twain,CA
Jeffrey Foucault,US
Jawga Boyz,US
Patty Loveless,US
Cody Johnson,US
Jillian Jacqueline,
Curtis Grimes,
Joey + Rory,US
Phosphorescent,US
The Amazing Rhythm Aces,US
Abby Anderson,
James McMurtry,US
Wade Hayes,US
Mac Davis,US
Chad Brownlee,CA
Micky & The Motorcars,
Margo Price,
Dan Davidson,US
Sarah Darling,US
Nashville Cast,
Hannah Ellis,US
SHeDAISY,US
John Anderson,US
Maddie & Tae,US
Cold California,
The Flying Burrito Brothers,US
Muscadine Bloodline,
Ty Herndon,US
The Replacements,US
Seals & Crofts,US
Darryl Worley,US
Zane Williams,
John Berry,US
Hank Williams,US
Jackson Browne,US
Head East,US
Adam Wakefield,
Jamie O’Neal,US
Cowboy Junkies,CA
Levi Hummon,
Foghat,GB
Jenny Lewis,US
Cryptic Wisdom,
Faith Hill,US
Josh Mirenda,
The J. Geils Band,US
Derek and the Dominos,US
Morgan Evans,AU
Amigo the Devil,
Amber Lawrence,AU
brent hosier,
Trío Arriaga,ES
Kenton Bryant,
Logan Mize,US
Stephen Stills,US
Ricky Van Shelton,US
LANCO,US
James Barker Band,
The Doobie Brothers,US
Felicity Urquhart,AU
Tyler Rich,US
Sara Evans,US
Cypress Spring,
Loudon Wainwright III,US
Eric Paslay,US
Jerrod Niemann,US
Deana Carter,US
Mindy McCready,US
Earl Thomas Conley,US
Eric Church,US
Laura Bell Bundy,US
Wade Bowen,US
Midland,GB
Leroy Van Dyke,US
Hank Williams III,US
Jana Kramer,US
Mark Collie,US
Alejandro Escovedo,US
Emmylou Harris,US
Cross Canadian Ragweed,US
Moonshine Bandits,US
Charley Pride,US
STWO,
Lamb of God,US
Sanctus Real,US
Turnover,
TV on the Radio,US
Adam Jensen,
Tenth Avenue North,
Mos Def,US
The Afters,US
Calle 13,PR
Toro y Moi,US
David Crowder Band,US
Joy Division,GB
Silversun Pickups,US
Gin Blossoms,US
Sinead Harnett,
Ol’ Dirty Bastard,US
Modern Baseball,US
Tenacious D,US
Jazmine Sullivan,US
Charlotte Day Wilson,
Sixx:A.M.,US
Flight Facilities,AU
Ashes Remain,US
Zacari,
Dope,US
The Front Bottoms,US
White Zombie,US
Bullet for My Valentine,GB
Ryan Stevenson,
Relient K,US
Generationals,
Chloe x Halle,US
Miike Snow,SE
D’Angelo,US
Noname,
Megadeth,US
FKA twigs,
Thrice,US
Slayer,US
GZA/Genius,US
Always Never,
Carolina Liar,SE
Grizzly Bear,US
Michael W. Smith,US
Blue October,US
Hope Tala,
Rev Theory,US
Col3trane,
Daughtry,US
Interpol,US
Liz Phair,US
Foreign Air,US
Supergrass,GB
Static-X,US
Tantric,US
tobyMac,US
Trivium,US
Los Enanitos Verdes,AR
蘑菇红,CN
Local H,US
Deaton Chris Anthony,
Spoon,US
Dounia,
Pnau,AU
Lemaitre,NO
Café Tacvba,MX
Kari Jobe,US
Matthew West,US
Domo Genesis,US
Butthole Surfers,US
R.LUM.R,
Soil,US
Bishop Briggs,GB
Garbage,US
Third Day,US
The Roots,US
Phantogram,US
Dr. Dog,US
Mon Laferte,MX
Unspoken,US
Cemetery Sun,
Emotional Oranges,
Santigold,US
Remo Drive,
The Story So Far,US
Fozzy,US
Mandisa,US
Cult to Follow,US
Alter Bridge,US
Toad the Wet Sprocket,US
Sidewalk Prophets,
Rhett Walker,
