,name,birth_country
2397,Brandy,US
2398,Scatman John,US
2399,Mýa,US
2400,Juan Magán,ES
2401,10cc,GB
2402,Simply Red,GB
2403,Anika,IT
2404,Hardwell,NL
2405,Kim Wilde,GB
2406,Kim Wilde,GB
2407,Kim Wilde,GB
2408,SHINee,KR
2409,Corey Hart,CA
2410,Xscape,US
2411,Marques Houston,US
2412,Paula DeAnda,US
2413,New Edition,US
2414,Conor Maynard,GB
2415,Jon B.,US
2416,Bronski Beat,GB
2417,Knife Party,
2418,William Singe,AU
2419,Modern English,GB
2420,S Club 7,GB
2421,Boyzone,IE
2422,Nicky Romero,NL
2423,The Veronicas,AU
2424,Gary Numan,GB
2425,Fuse ODG,GB
2426,Transviolet,US
2427,ALMA,FI
2428,Donna Summer,US
2429,Five,GB
2430,Vanessa Hudgens,US
2431,Ashley Tisdale,US
2432,Frankie J,US
2433,Robert Palmer,GB
2434,Howard Jones,GB
2435,CID,US
2436,DEV,US
2437,XYLØ,US
2438,The Corrs,IE
2439,Danity Kane,US
2440,Aaron Carter,US
2441,En Vogue,US
2442,Thompson Twins,GB
2443,K. Michelle,US
2444,The Bangles,US
2445,Kabah,MX
2446,Corona,IT
2447,Tove Styrke,SE
2448,Billy Ocean,GB
2449,Feenixpawl,AU
2450,Pendulum,AU
2451,The Cheetah Girls,US
2452,Pretenders,GB
2453,Todrick Hall,US
2454,James,GB
2455,Tungevaag & Raaban,
2456,White Lies,GB
2457,Tony! Toni! Toné!,US
2458,Superfruit,US
2459,Tamar Braxton,US
2460,Kajagoogoo,GB
2461,Real McCoy,DE
2462,Dirty South,AU
2463,Empire Cast,US
2464,Dru Hill,US
2465,f(x),KR
2466,Peter Gabriel,GB
2467,Afrojack,NL
2468,Havana Brown,AU
2469,Fiction Factory,GB
2470,Sofia Karlberg,
2471,Onda Vaselina,MX
2472,Moon Boots,US
2473,All Saints,GB
2474,JLS,GB
2475,S3RL,AU
2476,Naked Eyes,GB
2477,Azealia Banks,US
2478,cupcakKe,
2479,Lisa Stansfield,GB
2480,Allie X,
2481,Bingo Players,NL
2482,María José,MX
2483,The Vapors,GB
2484,Fey,MX
2485,General Public,GB
2486,Johnny Hates Jazz,GB
2487,Paloma Faith,GB
2488,SISTAR,KR
2489,Squeeze,GB
2490,Christina Milian,US
2491,The Saturdays,GB
2492,The Fixx,GB
2493,Rina Sawayama,GB
2494,Bryan Ferry,GB
2495,Elvis Costello & The Attractions,GB
2496,BTOB,KR
2497,BBMak,GB
2498,Oingo Boingo,US
2499,Ella Eyre,GB
2500,Sam Sparro,AU
2501,"Albert Hammond, Jr.",US
2502,Goldfrapp,GB
2503,Wang Chung,GB
2504,Tujamo,
2505,Culture Beat,DE
2506,Wonder Girls,KR
2507,Carl Thomas,US
2508,Blonde,GB
2509,Bombs Away,AU
2510,The Specials,GB
2511,Take That,GB
2512,Orange Juice,GB
2513,The The,GB
2514,Morgan Page,US
2515,THE RAMPAGE from EXILE TRIBE,JP
2516,RAYE,GB
2517,The Dream Academy,GB
2518,Lindsay Lohan,US
2519,Eve,US
2520,Escort,US
2521,Roxy Music,GB
2522,ABC,GB
2523,EMMA WAHLIN,
2524,Paty Cantú,MX
2525,Real Life,AU
2526,BoA,KR
2527,Big Country,GB
2528,The Libertines,GB
2529,Kate Bush,GB
2530,OV7,MX
2531,The Jam,GB
2532,Joe Jackson,GB
2533,The Stranglers,GB
2534,Orange Caramel,KR
2535,The Aston Shuffle,AU
2536,Delta 5,GB
2537,Firebeatz,NL
2538,Marsha Ambrosius,
2539,September,SE
2540,Tokyo Machine,
2541,Level 42,GB
2542,Cartoons,DK
2543,Warpaint,US
2544,Crazy P,GB
2545,Capital Kings,US
2546,Mr. President,DE
2547,The Von Bondies,US
2548,Mohombi,SE
2549,Caramell,SE
2550,B1A4,KR
2551,Raheem DeVaughn,US
2552,MUNA,US
2553,VERIVERY,KR
2554,Paulina Rubio,MX
2555,Samantha Mumba,IE
2556,Friendly Fires,GB
2557,Sky Ferreira,US
2558,Patti Smith,US
2559,Casino Versus Japan,US
2560,Dada Life,SE
2561,Animotion,US
2562,Stacie Orrico,US
2563,Madcon,NO
2564,John Paul Young,AU
2565,Chris Wallace,US
2566,Blue,GB
2567,Thomas & Friends,
2568,Sugababes,GB
2569,Rogue Traders,AU
2570,Dr. Alban,SE
2571,Nicole Scherzinger,US
2572,Electric Six,US
2573,Boards of Canada,GB
2574,Midge Ure,GB
2575,HEALTH,US
2576,Wet Wet Wet,GB
2577,Wet Wet Wet,GB
2578,Adam Ant,GB
2579,Blasterjaxx,NL
2580,Vitalic,FR
2581,Tokyo Police Club,CA
2582,Paris Hilton,US
2583,Gina G,AU
2584,French Horn Rebellion,US
2585,The Rapture,US
2586,Yazoo,GB
2587,Beats Antique,
2588,Suicide,US
2589,Elvis Costello,GB
2590,Peter Andre,AU
2591,We Are Scientists,US
2592,M People,GB
2593,Wolf Parade,CA
2594,Martha and the Muffins,CA
2595,The Communards,GB
2596,Loona,NL
2597,Minus the Bear,US
2598,Jeffree Star,
2599,NERVO,AU
2600,Ladyhawke,NZ
2601,Lasgo,BE
2602,Playa Limbo,MX
2603,Uffie,US
2604,Nayer,US
2605,Sentidos Opuestos,MX
2606,Whigfield,DK
2607,Mystery Jets,GB
2608,Information Society,US
2609,Alaska Thunderfuck,US
2610,Kudai,CL
2611,Peter Murphy,
2612,Love and Rockets,GB
2613,miss A,KR
2614,Sash!,DE
2615,The Subways,GB
2616,Ultravox,GB
2617,Minutemen,US
2618,The Motels,US
2619,ATC,DE
2620,ATC,DE
2621,KARA,KR
2622,After School,KR
2623,Big Audio Dynamite,GB
2624,Django Django,GB
2625,Totally Enormous Extinct Dinosaurs,GB
2626,Killing Joke,GB
2627,Glass Candy,US
2628,MSTRKRFT,CA
2629,2 Unlimited,NL
2630,R.I.O.,DE
2631,Captain Hollywood Project,DE
2632,RL Grime,US
2633,Daft Punk,FR
2634,San Holo,NL
2635,Yellow Claw,NL
2636,Ookay,US
2637,Flosstradamus,US
2638,Tropkillaz,
2639,Boombox Cartel,
2640,MC Hammer,US
2641,Big Gigantic,US
2642,Excision,CA
2643,Massive Attack,
2644,Party Favor,
2645,Taska Black,BE
2646,NGHTMRE,US
2647,Valentino Khan,US
2648,DJ Shadow,US
2649,Kaivon,
2650,What So Not,AU
2651,Seven Lions,US
2652,Gaullin,LT
2653,Getter,US
2654,Apashe,
2655,DROELOE,
2656,Ekali,
2657,The Prodigy,GB
2658,Alison Wonderland,AU
2659,Moby,US
2660,Space Jesus,
2661,Kayzo,
2662,Slushii,
2663,Hooverphonic,BE
2664,Fatboy Slim,GB
2665,Fatboy Slim,GB
2666,Zeds Dead,CA
2667,David Hohme,
2668,Jamie xx,GB
2669,Portishead,GB
2670,Jauz,
2671,Keys N Krates,CA
2672,Borgore,IL
2673,Ghastly,FI
2674,Adventure Club,CA
2675,Flux Pavilion,GB
2676,ARMNHMR,
2677,Fabian Mazur,
2678,Télépopmusik,FR
2679,Destructo,US
2680,Point Point,
2681,SLUMBERJACK,
2682,Zomboy,GB
2683,Lookas,
2684,Wax Tailor,FR
2685,Ganja White Night,BE
2686,Liquid Stranger,
2687,Bassnectar,US
2688,Bonobo,GB
2689,Zero 7,GB
2690,Medasin,US
2691,Chris Lake,GB
2692,JOYRYDE,
2693,DJ Koze,DE
2694,Thievery Corporation,US
2695,RJD2,US
2696,Herobust,
2697,TroyBoi,
2698,Malaa,XW
2699,Simon Vuarambon,
2700,The Ninetys,GB
2701,Gent & Jawns,US
2702,Jon Hopkins,GB
2703,Snavs,DK
2704,Duskus,
2705,LOUDPVCK,
2706,Grandtheft,CA
2707,GTA,US
2708,UZ,
2709,SVDDEN DEATH,US
2710,Baauer,US
2711,TNGHT,
2712,Boogie T,
2713,Riot Ten,
2714,dné,CZ
2715,Yello,CH
2716,Trentemøller,DK
2717,Trampa,BR
2718,Rickyxsan,
2719,Bicep,
2720,Buku,US
2721,Tchami,FR
2722,Datsik,CA
2723,Morcheeba,GB
2724,Way Out West,GB
2725,Bro Safari,US
2726,G Jones,
2727,Champagne Drip,
2728,Thom Yorke,
2729,Say My Name,
2730,Apparat,DE
2731,Christian Löffler,DE
2732,Electric Mantis,
2733,Dombresky,
2734,12th Planet,US
2735,PEEKABOO,
2736,Kai Wachi,
2737,4B,JE
2738,The Acid,GB
2739,Rusko,US
2740,The Stone Roses,GB
2741,Bent,GB
2742,Gramatik,US
2743,Rob Dougan,AU
2744,Guts,FR
2745,AC Slater,US
2746,Wuki,
2747,Lit Lords,US
2748,Ray Volpe,
2749,Doctor P,GB
2750,Dirty Vegas,GB
2751,François de Roubaix,FR
2752,Virtual Riot,DE
2753,The Charlatans,GB
2754,Nicolas Jaar,US
2755,Kompany,
2756,1788-L,
2757,Lemon Jelly,GB
2758,Kiasmos,IS
2759,Quantic,
2760,JiKay,
2761,Minnesota,US
2762,FC Kahuna,GB
2763,MEMBA,
2764,Nitti Gritti,
2765,WAVEDASH,
2766,Dion Timmer,NL
2767,Ten Walls,
2768,Space Laces,
2769,Cesqeaux,NL
2770,BVRNOUT,US
2771,Blockhead,US
2772,Bear Grillz,
2773,Stavroz,BE
2774,The Crystal Method,
2775,Tisoki,
2776,Paul Oakenfold,GB
2777,Nonsens,
2778,Junkie XL,NL
2779,Unders,NL
2780,Sullivan King,US
2781,Rustie,GB
2782,St Germain,FR
2783,Faithless,GB
2784,Lucky Luke,GB
2785,Dodge & Fuski,US
2786,Dubloadz,US
2787,Hekler,
2788,Gammer,GB
2789,Vök,IS
2790,Dirt Monkey,US
2791,Sam Gellaitry,
2792,Subtronics,
2793,Habstrakt,FR
2794,Lo Fidelity Allstars,GB
2795,Atrey,
2796,Weval,NL
2797,Groove Armada,GB
2798,Kennedy Jones,
2799,Oski,AU
2800,HNNY,SE
2801,KRANE,AT
2802,Black Tiger Sex Machine,CA
2803,Alexander Lewis,
2804,Nicola Cruz,EC
2805,AFK,
2806,Armen Miran,
2807,Sikdope,
2808,Kraftwerk,DE
2809,JayKode,US
2810,Archive,GB
2811,Tosca,AT
2812,Krimer,
2813,Tricky,GB
2814,Aim,GB
2815,Eptic,BE
2816,Wooli,
2817,Burial,GB
2818,Falcons,FI
2819,Jordan Comolli,GB
2820,Yppah,US
2821,Wiwek,NL
2822,DJ Sliink,US
2823,Oceanvs Orientalis,TR
2824,múm,IS
2825,Barely Alive,US
2826,Dole,BE
2827,Dabow,
2828,FIGHT CLVB,
2829,Rodrigo Gallardo,CL
2830,Dwin,
2831,Shakarchi & Stranéus,
2832,Amon Tobin,BR
2833,Kid Loco,FR
2834,Todd Terje,NO
2835,Aazar,
2836,Polynation,
2837,Saint Etienne,GB
2838,Jaja,DE
2839,Tsuruda,
2840,RayRay,
2841,Lamb,GB
2842,Lusine,US
2843,Moksi,NL
2844,Front 242,BE
2845,Guy Gerber,IL
2846,BROHUG,
2847,Tomsize,FR
2848,Waldeck,AT
2849,Satori,
2850,Hucci,GB
2851,Hudson Mohawke,GB
2852,MUST DIE!,US
2853,Kerala Dust,
2854,Chase & Status,GB
2855,Mr. Scruff,GB
2856,Great Dane,
2857,Jackal,DK
2858,Sofa Surfers,AT
2859,Doves,GB
2860,Bedouin,GB
2861,Chace,
2862,DAVI,AM
2863,Stooki Sound,GB
2864,Global Communication,GB
2865,Dirtcaps,
2866,GANZ,
2867,UNKLE,GB
2868,Shlump,
2869,Bailo,
2870,Booka Shade,DE
2871,Tangerine Dream,DE
2872,Carbon Based Lifeforms,SE
2873,Dub Pistols,GB
2874,Joel Mull,SE
2875,Black Grape,GB
2876,TYNAN,
2877,NOËP,EE
2878,josh pan,
2879,Adam Beyer,SE
2880,Axel Boy,
2881,BT,US
2882,Ladytron,GB
2883,Kelpe,GB
2884,Lone,
2885,YOOKiE,
2886,Sneaker Pimps,GB
2887,Spaniol,
2888,Jeremy Olander,
2889,Róisín Murphy,IE
2890,Sakiko Osawa,JP
2891,The Beloved,GB
2892,Geju,
2893,ATLiens,
2894,Eliminate,
2895,Branchez,US
2896,Happy Mondays,GB
2897,Viken Arman,
2898,Jean du Voyage,
2899,LSD,
2900,Zuma Dionys,
2901,Mees Dierdorp,
2902,Cerrone,FR
2903,Mint Royale,GB
2904,Kleintierschaukel,
2905,Rampue,
2906,Ottawan,FR
2907,Rapossa,
2908,Blue States,GB
2909,Nortec Collective,MX
2910,High Contrast,GB
2911,Kornél Kovács,SE
2912,Éric Serra,FR
2913,Botnek,
2914,History of Colour,
2915,El Mundo,
2916,The Orb,GB
2917,Simian Mobile Disco,GB
2918,Lapti,
2919,Evil Nine,GB
2920,Mike Cervello,
2921,Apollo 440,GB
2922,Luminox,US
2923,Ian Brown,GB
2924,Alef,
2925,Massappeals,GB
2926,Clark,GB
2927,Ricky Remedy,US
2928,Henry Fong,US
2929,David August,
2930,Dirty Audio,US
2931,Tortoise,US
2932,Felix Laband,ZA
2933,Elfenberg,
2934,The Presets,AU
2935,Kollektiv Turmstrasse,DE
2936,Boys Noize,DE
2937,Oliver Koletzki,DE
2938,Planet Funk,IT
2939,Sasha,GB
2940,Xique-Xique,BR
2941,Brillz,
2942,Djemba Djemba,
2943,Flunk,NO
2944,The Field,
2945,Modeselektor,DE
2946,Rey & Kjavik,
2947,Powder,US
2948,Oneohtrix Point Never,US
2949,The Grid,GB
2950,Soulwax,BE
2951,Cari Lekebusch,SE
2952,Jackie Mendoza,US
2953,Susumu Yokota,JP
2954,Kedr Livanskiy,
2955,Alì Farahani,
2956,Ida Engberg,SE
2957,Andy Stott,
2958,Skee Mask,DE
2959,Daniel Avery,GB
2960,The Herbaliser,GB
2961,Cornucopia,PR
2962,Cassius,FR
2963,Timboletti,
2964,Nutia,
2965,Shkoon,
2966,Pattern Drama,
2967,Jonas Rathsman,
2968,Canson,CH
2969,Tiga,CA
2970,Christophe,FR
2971,Fluke,GB
2972,Juno Reactor,
2973,Rawtek,
2974,Plaid,GB
2975,Boozoo Bajou,DE
2976,Kruder & Dorfmeister,AT
2977,Monitor 66,SE
2978,Hydraulix,US
2979,Diskord,
2980,Mnogoznaal,RU
2981,Acid Pauli,DE
2982,Lindstrøm,NO
2983,Naoki Kenji,DE
2984,Seefeel,GB
2985,Hatari,IS
2986,Objekt,DE
2987,Mr. Oizo,FR
2988,Kermesse,IT
2989,Aleherion,
2990,Be Svendsen,
2991,Nico Stojan,
2992,David Holmes,
2993,Swizzymack,US
2994,Nina Kraviz,RU
2995,SIS,DE
2996,Hybrid,GB
2997,Hraach,AM
2998,Propellerheads,GB
2999,Ulrich Schnauss,DE
3000,Sahalé,
3001,DJ Krush,JP
3002,Overseer,GB
3003,Amentia,
3004,The Fall,GB
3005,Squarepusher,
3006,Dandara,BR
3007,Pepe Mogt,MX
3008,Boaz van de Beatz,NL
3009,Downtown Party Network,
3010,Biosphere,NO
3011,Dirty Doering,DE
3012,Jimi Tenor,FI
3013,Low Pros,
3014,Francis Lai,FR
3015,Rell the Soundbender,
3016,The KLF,GB
3017,M.RUX,
3018,Brokenchord,LT
3019,Axel Boman,SE
3020,Baba Stiltz,
3021,Bad Royale,US
3022,Menasa,
3023,Amnesia Scanner,
3024,Lil Texas,
3025,LUM,CA
3026,GusGus,IS
3027,Mr. Carmack,US
3028,Funki Porcini,
3029,Sebastian Mullaert,SE
3030,Manuel Riva,RO
3031,The Federal Empire,
3032,Akurei,
3033,Yerba Buena,US
3034,Cortes,GB
3035,Jon Foreman,US
3036,Rivers Cuomo,US
3037,Cowboy Mouth,US
3038,Sunny Day Real Estate,US
3039,Like Pacific,
3040,Leon Else,
3041,We Were Sharks,
3042,The Letter Black,US
3043,Gleemer,
3044,Alex Isley,
3045,Blindside,SE
3046,Royce Lovett,
3047,Alice Pisano,
3048,Matt Martians,
3049,Jonathan Davis,US
3050,The Dose,US
3051,Stereo Skyline,US
3052,Porcupine Tree,GB
3053,Selah,US
3054,Olivia Nelson,
3055,Tirzah,GB
3056,Boy Harsher,US
3057,Frank Black,US
3058,Lootpack,US
3059,Calexico,US
3060,Alberta Cross,
3061,Angel Snow,US
3062,Shay Lia,
3063,Archy Marshall,
3064,Westside Gunn,US
3065,Marco McKinnis,US
3066,Superdrag,US
3067,PJ Harvey,GB
3068,Camper Van Beethoven,US
3069,DLD,MX
3070,Institute,
3071,The Cool Kids,US
3072,PRhyme,US
3073,rum.gold,
3074,Team Sleep,US
3075,Zona Ganjah,
3076,Anna Wise,
3077,Apathy,US
3078,BarlowGirl,US
3079,Spoken,US
3080,Victoria Monét,US
3081,LiSA,JP
3082,KANA-BOON,JP
3083,UVERworld,JP
3084,amazarashi,JP
3085,THE ORAL CIGARETTES,JP
3086,Linked Horizon,JP
3087,ASIAN KUNG-FU GENERATION,JP
3088,Hello Sleepwalkers,
3089,FLOW,JP
3090,MYTH & ROID,JP
3091,Mili,JP
3092,OxT,JP
3093,RADWIMPS,JP
3094,ASCA,JP
3095,TeddyLoid,JP
3096,BRADIO,JP
3097,BACK-ON,JP
3098,MADKID,JP
3099,MAN WITH A MISSION,JP
3100,Aimer,JP
3101,BURNOUT SYNDROMES,JP
3102,EGOIST,JP
3103,ZAQ,JP
3104,"Fear, and Loathing in Las Vegas",JP
3105,SPYAIR,JP
3106,WEAVER,JP
3107,WEAVER,JP
3108,ClariS,JP
3109,SawanoHiroyuki[nZk],JP
3110,Austin Wintory,
3111,miwa,JP
3112,Capcom Sound Team,
3113,majiko,JP
3114,Kalafina,JP
3115,Daisy×Daisy,
3116,Mrs. GREEN APPLE,JP
3117,ORANGE RANGE,JP
3118,GARNiDELiA,JP
3119,DECO*27,JP
3120,いとうかなこ,JP
3121,supercell,JP
3122,fhána,JP
3123,Bruce Faulconer,US
3124,Eminence Symphony Orchestra,AU
3125,halca,JP
3126,MY FIRST STORY,JP
3127,Kevin Penkin,
3128,BLUE ENCOUNT,
3129,BUMP OF CHICKEN,JP
3130,Rozen,US
3131,AKB48,JP
3132,Suara,JP
3133,PENGUIN RESEARCH,JP
3134,LAST ALLIANCE,JP
3135,Project Destati,
3136,Do As Infinity,JP
3137,Roselia,JP
3138,亜咲花,JP
3139,Aqua Timez,JP
3140,YURiKA,JP
3141,Superfly,JP
3142,fripSide,JP
3143,GReeeeN,JP
3144,KOKIA,JP
3145,livetune,JP
3146,佐々木恵梨,JP
3147,eufonius,JP
3148,AAA,JP
3149,SWANKY DANK,JP
3150,flumpool,JP
3151,wowaka,JP
3152,内田彩,JP
3153,IA,JP
3154,TrySail,JP
3155,04 Limited Sazabys,JP
3156,SILENT SIREN,JP
3157,Last Note.,JP
3158,Zwei,JP
3159,40mP,JP
3160,PolyphonicBranch,JP
3161,KOTOKO,JP
3162,SEKAI NO OWARI,JP
3163,Goose house,JP
3164,"Wake Up, Girls!",JP
3165,Afterglow,US
3166,MELL,JP
3167,黒崎真音,JP
3168,MISIA,JP
3169,Ally Kerr,GB
3170,Poppin'Party,JP
3171,Evangelion,ES
3172,i☆Ris,JP
3173,SCANDAL,JP
3174,HY,JP
3175,大原ゆい子,JP
3176,kradness,
3177,Kiroro,JP
3178,EXILE,JP
3179,"Run Girls, Run!",JP
3180,Momo,SK
3181,DREAMS COME TRUE,JP
3182,My Little Lover,JP
3183,May J.,JP
3184,otetsu,
3185,川田まみ,JP
3186,The Winking Owl,JP
3187,KEYTALK,JP
3188,Falcom Sound Team jdk,JP
3189,yonige,JP
3190,Every Little Thing,JP
3191,Noriyasu Takeuchi,
3192,今井麻美,JP
3193,164,JP
3194,THE YELLOW MONKEY,JP
3195,School Food Punishment,JP
3196,tilt-six,JP
3197,buzzG,JP
3198,彩音,JP
3199,YM,JP
3200,RIDER CHIPS,JP
3201,Rie fu,JP
3202,HoneyWorks,JP
3203,GLAY,JP
3204,Kano,GB
3205,Sou,JP
3206,夏代孝明,JP
3207,Kassin,BR
3208,Shinya Kiyozuka,
3209,Toshiyuke Watanabe,
3210,Sarah Àlainn,JP
3211,Base Ball Bear,JP
3212,HIGH and MIGHTY COLOR,JP
3213,Yuji Ohno & Lupintic Five,
3214,T.M.Revolution,JP
3215,ko-ko-ya,
3216,solfa,JP
3217,Asriel,JP
3218,Panaman,
3219,Audio Bullys,GB
3220,BIG MAKK,
3221,Floex,CZ
3222,Floex,CZ
3223,PHCK,
3224,ETC!ETC!,
3225,Samaris,IS
3226,808 State,GB
3227,Birds of Mind,
3228,B12,GB
3229,Peter Power,DE
3230,Tiger Stripes,
3231,Tzusing,CN
3232,Alain Goraguer,FR
3233,Jacob Groening,DE
3234,Space,FR
3235,The Gibson Brothers,US
3236,Soul of Hex,
3237,Vtgnike,RU
3238,Victor Niglio,
3239,Kulkid,FR
3240,Venetian Snares,CA
3241,Zamilska,PL
3242,Vladimir Cosma,RO
3243,Loscil,CA
3244,Utah Saints,
3245,Whynnel,
3246,Ninze,
3247,aYia,
3248,Black Devil Disco Club,FR
3249,Pop Will Eat Itself,GB
3250,Mr. Tophat,
3251,Bella Boo,
3252,Leftfield,GB
3253,Hildur,IS
3254,Actress,GB
3255,Cream Soda,RU
3256,Deniz Kurtel,TR
3257,Ochre,GB
3258,Kosheen,GB
3259,FVLCRVM,SK
3260,Nova Heart,CN
3261,Kate NV,
3262,John Tejada,US
3263,Pierre Bachelet,FR
3264,Freestylers,GB
3265,Estray,
3266,Oscar P,US
3267,Andre Rizo,XE
3268,Howie Lee,CN
3269,Bentley Rhythm Ace,GB
3270,Özgür Can,SE
3271,Bjarno,DK
3272,Moa Pillar,
3273,Floni,
3274,Photek,GB
3275,Coldcut,GB
3276,Wagon Christ,GB
3277,L Plus,SK
3278,Autechre,
3279,Jan Jelinek,DE
3280,Paul Hartnoll,GB
3281,Gladiator,SK
3282,Plump DJs,GB
3283,Gangly,IS
3284,Fila Brazillia,GB
3285,Buttechno,
3286,Original Swimming Party,
3287,Red Snapper,GB
3288,Stoltenhoff,
3289,GSPD,
3290,Satoshi Fumi,
3291,DJ Muscleboy,
3292,Sulumi,CN
3293,Dahu,DE
3294,William Orbit,GB
3295,Curtis (冷炫忱),
3296,Bjarki,IS
3297,Santiago Garcia,
3298,Hanabi,
3299,Volen Sentir,
3300,Yagya,IS
3301,Timo Maas,DE
3302,Mashti,
3303,Boeboe,
3304,Layo & Bushwacka!,GB
3305,Jon Casey,
3306,Yael Meyer,
3307,Minilogue,SE
3308,The Shamen,GB
3309,Dream Mclean,GB
3310,Ponty Mython,RU
3311,Changing Faces,US
3312,Mujuice,RU
3313,Dreadzone,GB
3314,LTJ Bukem,GB
3315,Zakir,
3316,AM444,CN
3317,Roni Size,GB
3318,Drexciya,US
3319,Matthew Dekay,NL
3320,Meat Beat Manifesto,GB
3321,Matanza,BR
3322,FM Belfast,IS
3323,Aleksi Perälä,GB
3324,Thugli,
3325,Discoshaman,
3326,Dorisburg,
3327,Tim Hecker,CA
3328,Žiga Murko,
3329,Mount Liberation Unlimited,
3330,Frakkur,
3331,AFX,GB
3332,Lionrock,GB
3333,Computer Says No,
3334,Lord Huron,US
3335,Hozier,IE
3336,Dermot Kennedy,IE
3337,Vance Joy,AU
3338,John Denver,US
3339,Van Morrison,
3340,The Lumineers,
3341,Eagles,US
3342,SYML,US
3343,Tracy Chapman,US
3344,Simon & Garfunkel,US
3345,The Paper Kites,AU
3346,James Taylor,US
3347,Vampire Weekend,US
3348,Electric Light Orchestra,GB
3349,Billy Joel,US
3350,Tom Walker,GB
3351,Don McLean,US
3352,Paul Simon,US
3353,Blanco White,GB
3354,Bon Iver,US
3355,Neil Diamond,US
3356,Carly Simon,US
3357,Angus & Julia Stone,AU
3358,Vanessa Carlton,US
3359,The Head and the Heart,US
3360,Boston,US
3361,Tom Petty,US
3362,Daryl Hall & John Oates,US
3363,Death Cab for Cutie,US
3364,Amber Run,GB
3365,Houndmouth,US
3366,Matt Nathanson,
3367,Kina Grannis,US
3368,The Foundations,GB
3369,Shakey Graves,
3370,Beach House,US
3371,Corinne Bailey Rae,GB
3372,Bright Eyes,US
3373,Gregory Alan Isakov,
3374,Ray LaMontagne,US
3375,Don Henley,US
3376,Hollow Coves,
3377,Mark Diamond,
3378,Stealers Wheel,GB
3379,Ben Howard,GB
3380,Phillip Phillips,US
3381,George Harrison,GB
3382,George Harrison,GB
3383,Steve Miller Band,US
3384,Maisie Peters,
3385,Freya Ridings,
3386,Joni Mitchell,CA
3387,Band of Horses,US
3388,Daughter,GB
3389,Steely Dan,US
3390,Bob Dylan,US
3391,Bob Dylan,US
3392,Henry Jamison,
3393,Of Monsters and Men,IS
3394,Jeff Buckley,US
3395,Father John Misty,US
3396,The Turtles,US
3397,Birdtalker,
3398,The Supremes,US
3399,The Supremes,US
3400,The Animals,GB
3401,John Lennon,GB
3402,Novo Amor,GB
3403,Harrison Storm,
3404,Caamp,
3405,Nathaniel Rateliff & The Night Sweats,
3406,Shannon Lay,
3407,Fleet Foxes,US
3408,"Crosby, Stills, Nash & Young",US
3409,Norah Jones,US
3410,City and Colour,CA
3411,José González,SE
3412,Rosie Carney,
3413,Mt. Joy,US
3414,Alison Krauss & Union Station,US
3415,Matt and Kim,US
3416,John Mellencamp,US
3417,Aquilo,GB
3418,Mipso,
3419,Local Natives,US
3420,Peter Bradley Adams,US
3421,Austin Basham,
3422,Family of the Year,US
3423,The Beach Boys,US
3424,The Beach Boys,US
3425,Matt Maeson,
3426,Annie Lennox,GB
3427,Bahamas,CA
3428,Tom Petty and the Heartbreakers,US
3429,Villagers,IE
3430,Tall Heights,US
3431,Brandi Carlile,US
3432,Bob Seger,US
3433,Jordan Mackampa,
3434,Ingrid Michaelson,US
3435,Gerry Rafferty,GB
3436,Gerry Rafferty,GB
3437,Charlie Cunningham,
3438,The Oh Hellos,
3439,Sufjan Stevens,US
3440,Bonnie Raitt,US
3441,Dustin Tebbutt,AU
3442,Carole King,
3443,Rainbow Kitten Surprise,
3444,Donovan Woods,CA
3445,Cold War Kids,US
3446,Aisha Badru,
3447,Phoebe Bridgers,
3448,Gin Wigmore,NZ
3449,Haux,US
3450,S. Carey,US
3451,Seafret,GB
3452,Jim Croce,US
3453,Julie Fowlis,
3454,Tom Odell,GB
3455,Lewis Watson,
3456,Old Sea Brigade,
3457,Darlingside,US
3458,Wild Child,
3459,Feist,CA
3460,The National,US
3461,Lake Street Dive,US
3462,The Hollies,GB
3463,Mitski,US
3464,Nick Drake,GB
3465,REO Speedwagon,US
3466,Four Tops,US
3467,Sylvan Esso,
3468,The Barr Brothers,CA
3469,Julie Byrne,US
3470,Allman Brown,
3471,The Who,GB
3472,The Who,GB
3473,Nick Wilson,
3474,Mat Kearney,US
3475,Iron & Wine,US
3476,Rhys Lewis,
3477,Blind Pilot,US
3478,Anna Nalick,US
3479,The Band CAMINO,
3480,RY X,AU
3481,The Postal Service,US
3482,BANNERS,
3483,Vancouver Sleep Clinic,AU
3484,Radical Face,US
3485,Chicago,US
3486,Wild Rivers,
3487,Beta Radio,
3488,Fruit Bats,US
3489,The Civil Wars,US
3490,Melissa Etheridge,US
3491,Jimmy Buffett,US
3492,The Archies,US
3493,Better Oblivion Community Center,
3494,Jewel,US
3495,Paul McCartney,GB
3496,Mandolin Orange,US
3497,Roo Panes,GB
3498,The Sweeplings,US
3499,Chuck Berry,US
3500,The Strumbellas,CA
3501,Zak Abel,
3502,Bruce Hornsby,US
3503,Soccer Mommy,US
3504,Dan Auerbach,US
3505,Elliot Root,
3506,Joy Williams,US
3507,Shawn Colvin,US
3508,Joe Walsh,US
3509,Real Estate,US
3510,Imaginary Future,
3511,William Fitzsimmons,US
3512,Julien Baker,US
3513,Juke Ross,
3514,Ed Prosek,GB
3515,Picture This,GB
3516,Penny and Sparrow,
3517,Corey Kilgannon,
3518,The Ballroom Thieves,
3519,Harry Nilsson,US
3520,The Zombies,GB
3521,Jefferson Airplane,US
